Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3
NO,Yes,0.4,Yes,No,0.2,Yes,No,0.1,Yes,No,0.1,NO,Yes,0.6,NO,Yes,0.7,NO,Yes,0.77,NO,Yes,0.8,NO,Yes,0.4,NO,Yes,0.5,Yes,No,0.3,NO,Yes,0.55
NO,Yes,0.2,NO,Yes,0.1,Yes,No,0.08,Yes,No,0.05,NO,Yes,0.15,NO,Yes,0.3,NO,Yes,0.4,NO,Yes,0.4,Yes,No,0.1,NO,Yes,0.15,Yes,No,0.1,NO,Yes,0.2
NO,Yes,0.2,NO,Yes,0.2,Yes,No,0.01,Yes,No,0.02,NO,No,0.2,NO,Yes,0.1,NO,Yes,0.1,NO,Yes,0.1,Yes,No,0.05,NO,Yes,0.1,Yes,No,0.02,Yes,No,0.02
NO,Yes,0.2,Yes,No,0.1,Yes,No,0.05,Yes,No,0.02,NO,Yes,0.2,NO,Yes,0.35,NO,Yes,0.3,NO,Yes,0.4,Yes,No,0.1,NO,Yes,0.2,Yes,No,0.05,NO,Yes,0.2
Yes,No,0.05,NO,No,0.07,Yes,No,0.05,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.08,NO,Yes,0.08,NO,Yes,0.1,Yes,No,0.06,Yes,No,0.05,Yes,No,0.05,Yes,No,0.05
NO,Yes,0.1,NO,No,0.07,Yes,No,0.05,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.1,NO,Yes,0.12,NO,Yes,0.12,Yes,No,0.05,Yes,No,0.05,Yes,No,0.05,Yes,No,0.05
NO,Yes,0.2,NO,Yes,0.15,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.11,NO,Yes,0.35,NO,Yes,0.36,NO,Yes,0.35,NO,Yes,0.09,NO,Yes,0.18,NO,Yes,0.08,NO,Yes,0.17
NO,Yes,0.3,NO,Yes,0.5,Yes,No,0,Yes,No,0,NO,Yes,0.2,NO,Yes,0.6,NO,Yes,0.4,NO,Yes,0.3,NO,Yes,0.1,NO,Yes,0.3,Yes,No,0,Yes,No,0
NO,Yes,0.3,NO,Yes,0.2,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.2,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5,Yes,No,0.05,NO,No,0.05,Yes,No,0.05,Yes,No,0.05
Yes,No,0.06,NO,Yes,0.2,Yes,No,0.05,Yes,No,0.05,Yes,No,0.06,NO,Yes,0.3,NO,Yes,0.25,NO,Yes,0.2,NO,Yes,0.2,NO,Yes,0.2,Yes,No,0.05,Yes,No,0.05
NO,No,0.05,Yes,Yes,0.1,NO,No,0,NO,No,0,NO,No,0.03,Yes,Yes,0.2,Yes,Yes,0.15,Yes,Yes,0.4,NO,No,0,NO,No,0.05,Yes,No,0,NO,Yes,0.1
NO,Yes,0.2,NO,Yes,0.1,Yes,No,0.05,Yes,No,0,NO,No,0.05,NO,Yes,0.3,NO,Yes,0.4,NO,Yes,0.4,NO,No,0.1,NO,No,0.1,Yes,No,0,NO,No,0.5
NO,Yes,0.1,NO,Yes,0.2,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.15,NO,Yes,0.3,NO,Yes,0.4,NO,Yes,0.35,NO,Yes,0.15,Yes,No,0.1,Yes,No,0.05,NO,Yes,0.15
NO,Yes,0.23,NO,Yes,0.57,Yes,No,0.07,Yes,No,0.01,NO,Yes,0.15,NO,Yes,0.23,NO,Yes,0.3,NO,Yes,0.3,Yes,No,0.15,NO,Yes,0.34,Yes,No,0.1,NO,Yes,0.26
NO,No,0.2,NO,No,0.2,Yes,No,0.05,Yes,No,0,NO,No,0.1,NO,Yes,0.5,NO,Yes,0.3,NO,Yes,0.3,NO,Yes,0.2,NO,No,0.2,Yes,No,0.05,NO,No,0.15
NO,Yes,0.2,NO,Yes,0.2,Yes,No,0.1,Yes,No,0.05,NO,Yes,0.1,NO,Yes,0.4,NO,Yes,0.4,NO,Yes,0.4,Yes,Yes,0.15,Yes,Yes,0.15,Yes,No,0.1,NO,Yes,0.2
NO,Yes,0.4,NO,Yes,0.3,Yes,No,0,Yes,No,0,Yes,No,0,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.8,Yes,No,0.2,Yes,No,0.3,Yes,No,0,Yes,No,0.1
NO,Yes,0.2,NO,Yes,0.15,Yes,No,0.05,NO,No,0.06,Yes,Yes,0.09,NO,Yes,0.3,NO,Yes,0.3,NO,Yes,0.3,NO,No,0.07,NO,Yes,0.25,Yes,No,0.07,Yes,No,0.06
NO,Yes,0.02,Yes,No,0,Yes,No,0.005,Yes,No,0,NO,No,0.009,NO,Yes,0.03,NO,Yes,0.05,NO,Yes,0.05,NO,No,0.005,NO,Yes,0.01,Yes,No,0,NO,No,0.008
NO,Yes,0.25,Yes,No,0,Yes,No,0,Yes,No,0,NO,Yes,0,NO,Yes,0.53,NO,Yes,0.42,NO,Yes,0.6,Yes,No,0,NO,Yes,0.5,Yes,No,0,Yes,No,0
NO,No,0.2,NO,Yes,0.4,Yes,No,0,Yes,No,0,NO,Yes,0.2,NO,Yes,0.7,NO,Yes,0.7,NO,Yes,0.8,Yes,No,0.2,Yes,No,0.3,Yes,No,0,Yes,No,0.1
NO,No,0,NO,No,0,Yes,No,0,Yes,No,0,NO,No,0,NO,Yes,0,NO,Yes,0,NO,Yes,0,NO,No,0,NO,Yes,0,Yes,No,0,NO,No,0
NO,No,0.07,NO,No,0.1,Yes,No,0.06,Yes,No,0.06,Yes,Yes,0.2,NO,Yes,0.2,NO,Yes,0.2,NO,Yes,0.2,NO,No,0.1,NO,No,0.1,Yes,No,0.06,NO,No,0.06
NO,Yes,0.2,NO,Yes,0.4,Yes,No,0.15,Yes,No,0.1,NO,Yes,0.3,NO,Yes,0.8,NO,Yes,0.8,NO,Yes,0.4,NO,Yes,0.3,NO,Yes,0.3,Yes,No,0,NO,Yes,0.2
Yes,No,0,NO,Yes,0,Yes,No,0,Yes,No,0,NO,Yes,0,NO,Yes,0,NO,Yes,0,NO,Yes,0,NO,Yes,0,Yes,No,0,Yes,No,0,Yes,No,0
NO,Yes,0.1,NO,Yes,0.1,NO,No,0.06,NO,No,0.06,NO,Yes,0.06,NO,Yes,0.2,NO,Yes,0.1,NO,Yes,0.1,NO,No,0.06,NO,Yes,0.06,NO,No,0.06,NO,No,0.06
NO,Yes,0.2,NO,Yes,0.3,Yes,No,0.05,Yes,No,0.07,NO,No,0.15,NO,Yes,0.4,NO,Yes,0.4,NO,Yes,0.4,NO,Yes,0.2,NO,No,0.1,NO,No,0.08,NO,Yes,0.1
NO,Yes,0.08,NO,Yes,0.08,Yes,No,0.05,Yes,No,0.05,NO,No,0.07,NO,Yes,0.15,NO,Yes,0.15,NO,Yes,0.18,NO,No,0.06,NO,Yes,0.07,Yes,No,0.05,NO,No,0.05
NO,No,0.5,Yes,No,0.5,Yes,No,0.5,Yes,No,0.5,Yes,No,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5
NO,Yes,0.1,NO,Yes,0.2,Yes,No,0.05,NO,No,0.05,NO,No,0.06,NO,Yes,0.3,NO,Yes,0.3,NO,Yes,0.3,Yes,No,0.05,Yes,No,0.06,NO,No,0.06,NO,No,0.06
NO,Yes,0.15,Yes,Yes,0.02,Yes,No,0,Yes,No,0,NO,Yes,0.3,NO,Yes,0.4,NO,Yes,0.15,NO,Yes,0.5,Yes,No,0,Yes,No,0,Yes,No,0,Yes,No,0
NO,Yes,0.1,NO,Yes,0.04,Yes,No,0.05,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.15,NO,Yes,0.2,NO,Yes,0.1,Yes,No,0.05,NO,Yes,0.08,Yes,No,0.05,NO,No,0.06
Yes,No,0.05,Yes,No,0.05,Yes,Yes,0.05,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.2,NO,Yes,0.3,NO,Yes,0.2,Yes,No,0.06,Yes,No,0.03,Yes,No,0.05,Yes,Yes,0.2
NO,Yes,0.2,NO,No,0.15,Yes,No,0.1,Yes,No,0.1,NO,Yes,0.3,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.6,Yes,No,0.2,NO,Yes,0.4,Yes,No,0.3,Yes,No,0.3
NO,Yes,0.1,NO,No,0.05,Yes,No,0.05,Yes,No,0.05,NO,No,0.05,NO,Yes,0.1,NO,Yes,0.15,Yes,No,0.1,Yes,No,0.05,NO,No,0.05,Yes,No,0.05,NO,No,0.05
Yes,No,0.05,Yes,Yes,0.2,Yes,No,0.04,Yes,No,0.05,NO,Yes,0.3,NO,Yes,0.5,NO,Yes,0.4,NO,Yes,0.5,Yes,No,0.06,NO,No,0.1,Yes,No,0.1,Yes,No,0.05
NO,Yes,0.15,NO,Yes,0.4,Yes,No,0,Yes,No,0,Yes,No,0,NO,Yes,0.5,NO,No,0.6,NO,Yes,0.5,NO,Yes,0.1,NO,Yes,0.1,Yes,No,0,Yes,No,0
NO,Yes,0.07,NO,Yes,0.2,Yes,No,0.05,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.1,NO,Yes,0.25,NO,Yes,0.3,NO,Yes,0.08,NO,Yes,0.1,Yes,No,0.05,NO,Yes,0.06
NO,No,0.1,NO,Yes,0.12,Yes,No,0.06,Yes,No,0.06,NO,No,0.06,NO,Yes,0.12,NO,Yes,0.1,NO,Yes,0.15,NO,No,0.07,NO,No,0.07,Yes,No,0.055,NO,No,0.06
NO,Yes,0.2,NO,Yes,0.2,Yes,No,0.05,Yes,No,0.05,Yes,No,0.06,NO,Yes,0.32,NO,Yes,0.32,Yes,Yes,0.1,Yes,No,0.06,Yes,Yes,0.06,Yes,No,0.05,Yes,No,0.05